event_id,event_type,effective_year,event_date_est,event_date_precision,evidence_status,confidence,source,parent_ck,child_ck
c6b9d243-e257-4de5-99dd-200aec5cb97d,SPLIT,2014,2014-01-01,YEAR,OBSERVED,1.00,66e2657f2668,,
c74d8665-6264-4d95-8328-49e8356753bf,SPLIT,2022,2022-01-01,YEAR,OBSERVED,1.00,a60bb91e61c3,,
c78f812e-64d4-462d-a9fd-5cf5636f2fdc,SPLIT,1989,1989-01-01,YEAR,OBSERVED,1.00,270f9ba7e1d9,,
c7a26a5b-e69d-4277-b892-cb9587df3311,SPLIT,1979,1979-01-01,YEAR,OBSERVED,1.00,84c86e5ac70b,,
c7d2cdd3-4479-4984-8c2e-ab4109cce4e1,SPLIT,1995,1995-01-01,YEAR,OBSERVED,1.00,1ae941252451,IND-000532,IND-000716
c7d7da70-585f-43ee-8618-9c28407b6998,SPLIT,2022,2022-01-01,YEAR,OBSERVED,1.00,b6a98698a54b,,
c7e89bc8-b0df-4fac-ae3b-b18c9a0cfa4e,NEW_DISTRICT,1994,1994-01-01,YEAR,OBSERVED,1.00,077ae6cdf3bf,IND-000498,IND-000626
c842a552-cadf-4fc9-9424-59b02f398fd1,NEW_DISTRICT,2016,2016-01-01,YEAR,OBSERVED,1.00,b982f900cd53,IND-000345,IND-000872
c85dbaff-0607-404c-96e4-0f2f26811191,SPLIT,2007,2007-01-01,YEAR,OBSERVED,1.00,6b8fcc9d002d,,
c86c4cc0-13b5-4e77-8fa1-57a5f2aa1489,RENAME,1951,1951-01-01,YEAR,OBSERVED,1.00,eb16141783fe,,
c8755bfb-91b9-49a9-ad61-ef4009fc9f10,SPLIT,2016,2016-01-01,YEAR,OBSERVED,1.00,48b449fbe2dd,,
c890b71c-192c-461a-949e-c96066f9f6fc,NEW_DISTRICT,2012,2012-01-01,YEAR,OBSERVED,1.00,8b132638fc47,IND-000662,IND-000891
c8952077-97aa-4898-b7b0-69e45207a201,SPLIT,1985,1985-01-01,YEAR,OBSERVED,1.00,af9ea446377c,,
